title,body,labels
"Payments - Dropdown de Reserva hardcodeado (solo #1 - Cliente Demo)","**Componente:** `features/payments/payments.component.ts:87`
**Problema:** El modal ""Registrar Pago"" solo muestra opción `#1 - Cliente Demo`. No se inyecta `ReservaService` ni se cargan reservas del backend.
**Solución:** Inyectar `ReservaService`, cargar `getAll()` en `ngOnInit`, poblar el `<select>` con datos reales del endpoint `/api/reservas`.","bug,frontend,p0"
"Repairs - Dropdowns de Reserva y Vehículo hardcodeados","**Componente:** `features/repairs/repairs.component.ts:118,125`
**Problema:** Modal ""Nueva Reparación"" tiene dropdowns con valores fijos (`#1`, `ABC-123`). No se inyectan `ReservaService` ni `AutoService`.
**Solución:** Inyectar ambos servicios, cargar listas en `ngOnInit` desde `/api/reservas` y `/api/autos`, poblar los dropdowns.","bug,frontend,p0"
"Mis-Reservas - Usa getAll() en vez de getMisReservas() (fuga de datos)","**Componente:** `features/portal/mis-reservas/mis-reservas.component.ts:76`
**Problema:** Muestra reservas de TODOS los usuarios del sistema. Llama `reservaService.getAll()` en vez del endpoint dedicado `getMisReservas()` (`/api/reservas/mis-reservas`). Fuga de datos y funcionalidad incorrecta.
**Solución:** Cambiar `getAll()` por `getMisReservas()`.","bug,security,frontend,p0"
"Auto-Detail - Usa create() en vez de createDesdePortal() con hack clientes[0]","**Componente:** `features/portal/auto-detail/auto-detail.component.ts:196-211`
**Problema:** El formulario de reserva desde portal hackea el cliente tomando `clientes[0]` de la lista completa. Existe `reservaService.createDesdePortal()` (endpoint `/api/reservas/desde-portal`) que no requiere `idCliente` pero no se usa.
**Solución:** Usar `reservaService.createDesdePortal()` con `ReservaPortalFormData` en vez de `create()` con `ReservaFormData`.","bug,frontend,p0"
"Perfil - saveProfile() roto (usa create en vez de updateMe) y changePassword() fake","**Componente:** `features/portal/perfil/perfil.component.ts:128,140-153`
**Problema:**
1. `saveProfile()` usa `clienteService.create()` (POST /api/clientes) que intenta crear un duplicado, en vez de `updateMe()` (PUT /api/clientes/me).
2. Perfil nunca se carga del backend — `getMe()` (GET /api/clientes/me) no se llama en `ngOnInit`, el formulario arranca vacío.
3. `changePassword()` muestra toast de éxito pero nunca llama al endpoint `PATCH /api/usuarios/cambiar-clave`.
**Solución:** 1) Cargar perfil con `getMe()` al iniciar. 2) Guardar con `updateMe()`. 3) Cambiar clave con `authService.cambiarClave(claveActual, claveNueva)` agregando campo de clave actual al formulario.","bug,frontend,p0"
"Dashboard - Stats fallback muestra datos falsos en error","**Componente:** `features/dashboard/dashboard.component.ts:106-121`
**Problema:** `getStats()` en error usa `{ totalAutos: 45, reservasActivas: 12, ingresosMes: 15400, clientesActivos: 120 }`. `getIngresosMensuales()` en error usa array fake de 6 meses con montos inventados. El usuario ve datos falsos sin saberlo.
**Solución:** Mostrar valores en 0 o `--` en vez de datos inventados. Agregar indicador visual de error (ej. badge ""Error al cargar"").","bug,frontend,p1"
"Dashboard - Stat cards [change] valores inventados (5, 12, 8, 3)","**Componente:** `features/dashboard/dashboard.component.ts:20-23`
**Problema:** Los badges de tendencia (`[change]=""5""`, `[change]=""12""`, etc.) son números fijos que no reflejan datos reales. La interfaz `DashboardStats` no incluye campos de cambio/tendencia.
**Solución:** Eliminar los `[change]` hasta que el backend exponga datos de tendencia reales, o derivarlos comparando mes actual vs anterior.","bug,frontend,p1"
"Payments - 4 stat cards hardcodeadas ($42,850, 14, Tarjeta, 2.4%)","**Componente:** `features/payments/payments.component.ts:30-33`
**Problema:** ""Cobranza del Mes"" ($42,850), ""Pendientes"" (14), ""Método más usado"" (Tarjeta), ""Morosidad"" (2.4%) son strings/números fijos. Ninguno se calcula de los datos reales de pagos.
**Solución:** Calcular desde la lista de pagos cargada: sumar `montoTotalPagado` del mes actual, contar pagos sin fecha, agrupar por `metodoPago`, etc.","bug,frontend,p1"
"Payments - filterDate nunca conectado a API ni filtro","**Componente:** `features/payments/payments.component.ts:21,127`
**Problema:** El input de fecha existe en el template pero el signal `filterDate()` nunca se usa en la lógica de filtrado ni en ninguna llamada API. Es decorativo.
**Solución:** Conectar `filterDate()` a un computed que filtre `pagos()` por `fechaPago`, o pasarlo como query param a `getAll()`.","bug,frontend,p1"
"Reservations - 3/4 stat cards en 0/$0 y iniciarReserva envía km=0","**Componente:** `features/reservations/reservations.component.ts:35-38,280`
**Problema:** ""Próximas 24h"", ""Devoluciones Hoy"", ""Ingresos Proyectados"" siempre muestran 0/$0. `iniciarReserva` no tiene modal para pedir kilometraje y siempre envía `0`.
**Solución:** Computar próximas 24h y devoluciones hoy desde los datos cargados. Agregar input de kilometraje en modal de iniciar.","bug,frontend,p1"
